Date	3M	Abercrombie & Fitch	Apple	AT&T	Bank of America	Boeing	Google	IBM	TJX Companies	Whole Foods Market
12/30/2011	-0.3096	-0.6061	-0.5862	-0.1720	-0.4151	-0.2523	-0.4193	-0.0385	-0.1782	-0.5444
1/3/2012	0.0236	-0.3784	-0.3619	0.1520	-0.3050	0.2075	0.2875	0.1998	0.0533	-0.2715
1/4/2012	-0.1737	-0.1790	-0.5513	0.3529	-0.3845	0.1376	-0.0716	-0.0523	-0.0304	0.0742
1/5/2012	-0.0619	0.3771	-0.5443	0.1380	0.4908	0.0817	0.0221	-0.0026	0.3996	0.1152
1/6/2012	-0.2508	-0.0454	-0.4028	0.4468	-0.3098	0.0454	-0.0705	0.0442	0.2739	-0.0477
1/9/2012	-0.1370	0.4251	-0.2096	-0.1295	-0.3054	-0.0835	0.7819	0.0437	0.4822	-0.1451
1/10/2012	0.0406	0.8231	-0.5227	0.0603	-0.0580	-0.2060	0.4000	0.0787	0.6493	0.0311
1/11/2012	0.1232	0.0791	-0.5834	-0.2031	-0.1462	-0.4308	-0.1680	-0.1426	0.2623	-0.3172
1/12/2012	0.0676	-0.0545	-0.6058	-0.0462	-0.0654	-0.2131	-0.3551	0.3403	0.8821	-0.1180
1/13/2012	0.0852	0.1769	-0.5656	0.1643	0.0974	0.3166	-0.1672	0.4581	0.9444	-0.1482
1/17/2012	-0.1184	-0.0557	-0.5271	-0.0015	-0.1500	-0.2144	-0.2264	0.3866	0.5127	1.4709
1/18/2012	0.1298	-0.2064	-0.4987	-0.1522	-0.2081	-0.0532	0.0419	0.0416	0.3352	0.3901
1/19/2012	-0.0554	0.1008	-0.4881	-0.2702	0.2237	0.7523	1.8007	0.2783	0.0026	-0.1034
1/20/2012	0.4479	0.9394	-0.1453	0.6228	0.0550	0.3304	2.7511	1.7108	0.6221	0.2587
1/23/2012	0.1057	0.2681	-0.4795	-0.3009	-0.1177	-0.0535	0.3094	0.2416	-0.0496	-0.2322
1/24/2012	0.2267	-0.0933	0.3746	-0.1508	-0.4141	-0.0700	0.1497	0.2765	-0.0632	-0.0959
1/25/2012	0.1096	-0.0129	1.0146	-0.0346	-0.3798	1.2250	0.6184	0.2085	0.2933	-0.3496
1/26/2012	0.2060	0.0010	-0.3958	0.5088	-0.2645	-0.2531	-0.0172	-0.0595	0.8712	0.1949
1/27/2012	0.0883	0.0571	-0.2921	0.2647	0.5949	0.0697	0.2781	0.0297	0.0881	-0.0961
1/30/2012	-0.0959	-0.1892	-0.2836	0.1963	-0.1230	0.5585	-0.1515	0.0342	-0.3875	-0.0842
1/31/2012	0.1318	-0.2745	-0.2798	0.5808	-0.2573	0.1502	-0.1259	0.4726	0.0004	-0.0786
2/1/2012	-0.0902	-0.2195	-0.4149	0.0906	-0.2314	-0.0993	-0.2256	0.1559	-0.0462	0.0671
2/2/2012	-0.3112	2.7205	-0.6522	-0.0375	-0.4728	-0.2066	-0.1145	0.0630	0.4824	-0.1541
2/3/2012	-0.0535	0.8573	-0.3150	-0.1185	0.0655	-0.1935	0.0012	-0.0532	-0.1902	-0.3209
2/6/2012	-0.1787	1.0941	-0.5283	-0.0961	-0.3399	-0.0571	0.3824	-0.2889	-0.1284	-0.0920
2/7/2012	-0.2968	0.2526	-0.3986	-0.2148	-0.2418	0.0260	-0.2050	-0.4378	-0.1397	-0.3414
2/8/2012	-0.2510	-0.3173	-0.2419	-0.3387	0.0440	0.5175	-0.2991	-0.2591	-0.1597	1.2006
2/9/2012	0.0611	-0.4905	0.6394	-0.3176	0.3425	-0.1127	-0.1706	-0.3917	-0.3917	3.8235
2/10/2012	-0.1214	-0.4337	0.2263	-0.1464	-0.1559	-0.3353	-0.2061	-0.2807	-0.4388	1.5245
2/13/2012	-0.2955	-0.3807	0.1964	-0.0128	0.0876	-0.2585	-0.3526	-0.5637	-0.4960	0.0566
2/14/2012	-0.1428	0.2535	-0.0123	-0.0360	0.1174	-0.2140	-0.3405	-0.3150	-0.4466	-0.2534
2/15/2012	0.1874	1.6066	2.1437	0.0060	0.1975	-0.1611	-0.1354	-0.3426	-0.2461	-0.1764
2/16/2012	-0.1829	-0.1756	0.7486	-0.0020	0.0743	-0.2017	-0.0944	-0.3535	-0.3374	-0.2989
2/17/2012	0.4155	-0.2528	0.2627	0.8734	0.8118	0.1615	0.1150	0.1821	0.2115	-0.0570
2/21/2012	-0.2542	-0.3874	0.1714	0.1270	0.8122	-0.1624	-0.1331	-0.4189	0.2267	-0.2924
2/22/2012	-0.1077	-0.5306	-0.0778	-0.0907	-0.3420	-0.3051	-0.2856	-0.1458	0.2980	-0.4130
2/23/2012	-0.0065	-0.2581	-0.0287	0.0331	-0.5797	-0.1720	-0.1713	0.2709	0.0334	-0.5415
2/24/2012	-0.2514	-0.4497	-0.3217	-0.0200	-0.5211	-0.3532	-0.2920	-0.3143	-0.2662	-0.5303
2/27/2012	-0.1332	-0.3843	-0.1169	-0.3773	0.3864	-0.1788	-0.3775	-0.3795	-0.0202	-0.1499
2/28/2012	-0.0314	-0.2776	0.0084	-0.2810	-0.4437	-0.2766	0.0491	-0.4075	-0.1309	-0.0470
2/29/2012	0.4872	0.5025	0.6969	0.3496	-0.1871	0.2646	0.2842	0.3377	0.3243	0.1471
3/1/2012	-0.1693	0.3045	0.1901	-0.1361	-0.3901	-0.2884	-0.1330	-0.3501	0.1303	-0.0952
3/2/2012	-0.2483	-0.2239	-0.2886	-0.2070	-0.6020	-0.4069	-0.4247	-0.2241	-0.2640	-0.0412
3/5/2012	-0.0347	-0.1711	0.3736	0.0407	-0.4228	-0.2577	-0.3584	0.0803	-0.1698	-0.2730
3/6/2012	0.1495	0.2665	0.3668	-0.0783	-0.1218	0.0817	0.3988	-0.1049	-0.2704	-0.3438
3/7/2012	0.2626	-0.2511	0.2911	-0.3021	1.4457	0.2338	-0.5271	-0.2562	-0.2834	-0.3394
3/8/2012	-0.1288	-0.1361	-0.1636	-0.3558	-0.4971	0.0248	-0.4130	-0.3009	-0.1801	-0.3032
3/9/2012	-0.2841	-0.3450	-0.2390	-0.2560	-0.3828	0.0069	0.0464	-0.3574	-0.1685	-0.4541
3/12/2012	-0.1065	-0.3819	-0.2422	-0.2659	-0.4675	-0.2019	-0.3596	-0.4093	-0.4703	-0.6472
3/13/2012	0.2814	-0.4109	0.1339	-0.1844	0.2281	0.2174	-0.1269	0.3297	-0.2528	0.2538
3/14/2012	0.0541	0.2221	1.3362	-0.2490	0.5789	-0.0221	0.1054	0.3102	-0.2838	-0.4901
