Date	3M	Abercrombie & Fitch	Apple	AT&T	Bank of America	Boeing	Google	IBM	TJX Companies	Whole Foods Market	S&P 500 Index	Info Tech Index
12/30/2011	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1/3/2012	2.15	0.10	1.54	0.46	4.32	1.19	3.02	1.32	-1.30	0.09	1.55	1.68
1/4/2012	3.00	-3.24	2.08	0.63	4.50	1.34	3.46	0.90	-0.19	2.75	1.57	1.95
1/5/2012	2.53	-6.04	3.22	0.53	13.49	0.25	2.03	0.42	2.73	4.56	1.87	2.47
1/6/2012	2.01	-8.05	4.31	-1.85	11.15	0.86	0.64	-0.73	2.96	4.74	1.61	2.58
1/9/2012	2.62	-6.57	4.14	-1.92	12.77	1.61	-3.55	-1.25	1.78	4.76	1.84	2.32
1/10/2012	3.14	-7.94	4.50	-1.59	19.24	2.25	-3.52	-1.40	1.56	4.46	2.74	2.78
1/11/2012	2.50	-7.33	4.33	-0.83	23.56	1.90	-3.09	-0.85	1.53	3.87	2.77	2.99
1/12/2012	3.12	-8.39	4.05	-0.40	22.12	2.94	-2.52	-1.81	1.18	3.38	3.01	3.40
1/13/2012	2.29	-7.88	3.70	-0.56	18.88	1.70	-3.24	-2.57	0.93	5.91	2.50	2.66
1/17/2012	3.06	-6.51	4.86	0.03	16.55	2.58	-2.68	-2.11	2.22	10.28	2.87	3.34
1/18/2012	4.09	-2.95	5.95	0.30	22.30	2.33	-2.01	-1.53	3.56	11.91	4.01	5.03
1/19/2012	4.98	-3.60	5.62	0.60	25.18	3.01	-0.98	-1.83	3.67	11.14	4.52	5.74
1/20/2012	4.80	-8.87	3.78	0.89	27.16	2.96	-9.27	2.52	3.14	9.69	4.59	5.99
1/23/2012	4.75	-9.44	5.54	0.53	30.40	2.94	-9.35	3.32	3.16	9.40	4.64	6.39
1/24/2012	5.14	-6.49	3.83	-0.50	31.12	2.74	-10.04	4.38	4.20	11.11	4.54	6.50
1/25/2012	5.81	-4.10	10.29	-0.10	32.19	3.37	-11.83	4.27	5.28	10.89	5.44	7.55
1/26/2012	7.16	-6.06	9.75	-2.61	31.29	2.67	-12.05	3.86	5.27	8.06	4.84	6.89
1/27/2012	7.01	-3.30	10.44	-3.57	31.12	1.64	-10.21	3.58	4.37	7.63	4.67	7.03
1/30/2012	6.86	-4.18	11.85	-2.98	27.16	1.10	-10.56	4.69	4.49	6.27	4.41	7.38
1/31/2012	6.09	-5.94	12.71	-2.74	28.24	1.13	-10.19	4.74	5.56	6.40	4.36	7.58
2/1/2012	6.88	-4.12	12.64	-2.12	32.37	2.75	-10.07	4.75	5.79	8.09	5.29	8.58
2/2/2012	6.97	-17.28	12.38	-1.49	33.99	2.55	-9.41	4.16	5.53	8.65	5.40	8.86
2/3/2012	7.34	-17.06	13.50	-0.96	41.01	4.08	-7.67	5.31	6.99	9.59	6.94	10.38
2/6/2012	7.13	-9.19	14.56	-0.89	43.35	2.88	-5.70	4.86	6.34	9.82	6.90	10.40
2/7/2012	7.54	-8.44	15.76	-0.66	41.19	2.52	-6.06	5.15	7.20	8.94	7.11	10.74
2/8/2012	7.63	-8.42	17.70	-0.73	46.22	2.88	-5.58	4.93	6.65	12.00	7.34	11.47
2/9/2012	7.70	-6.88	21.77	-0.83	47.12	3.48	-5.33	5.03	7.11	17.88	7.50	12.55
2/10/2012	6.62	-7.72	21.90	-1.32	45.14	2.18	-6.19	4.64	6.46	17.30	6.76	11.79
2/13/2012	7.71	-8.54	24.10	-0.66	48.38	2.04	-5.22	4.75	6.62	16.36	7.49	12.45
2/14/2012	7.66	-8.70	25.79	-0.56	43.53	3.01	-5.60	4.54	6.86	16.40	7.39	12.69
2/15/2012	6.46	-1.11	22.88	-1.22	39.93	2.54	-6.25	4.55	5.47	14.89	6.81	11.99
2/16/2012	7.24	-0.72	24.09	-0.73	45.50	2.62	-6.10	4.97	6.06	15.84	7.99	13.74
2/17/2012	7.13	-0.74	23.98	-0.76	44.24	2.73	-6.39	5.19	8.04	16.70	8.24	13.67
2/21/2012	7.18	-1.76	27.12	0.33	45.86	3.23	-4.94	5.17	9.12	15.81	8.32	14.15
2/22/2012	7.38	-2.27	26.68	0.13	42.99	3.69	-5.88	5.43	8.85	15.58	7.96	13.64
2/23/2012	7.55	-1.35	27.50	0.73	44.24	3.41	-6.16	7.47	11.32	16.44	8.42	14.17
2/24/2012	7.92	-1.43	28.99	0.33	41.73	3.69	-5.57	7.55	11.45	16.56	8.60	14.80
2/27/2012	7.76	-1.68	29.82	0.40	44.60	2.54	-5.66	7.42	13.83	17.35	8.75	14.92
2/28/2012	7.39	-2.13	32.20	0.96	46.04	2.47	-4.26	7.67	14.52	16.41	9.11	15.91
2/29/2012	7.18	-6.24	33.94	1.16	43.35	2.18	-4.28	6.99	13.43	16.04	8.59	15.33
3/1/2012	7.05	-3.09	34.44	1.29	46.04	2.36	-3.64	7.42	14.92	18.09	9.26	16.08
3/2/2012	7.08	-1.15	34.61	2.08	46.22	2.11	-3.82	8.12	14.89	19.01	8.91	15.86
3/5/2012	6.52	0.33	31.67	2.48	43.35	1.06	-4.90	9.13	15.88	18.74	8.49	14.74
3/6/2012	3.94	-2.19	30.93	1.55	38.67	-1.08	-6.34	7.28	14.05	16.32	6.82	13.49
3/7/2012	4.58	-0.86	31.03	2.12	44.24	0.23	-6.05	7.55	15.14	17.85	7.56	14.27
3/8/2012	6.09	1.31	33.82	2.51	44.96	1.12	-6.00	8.66	16.93	20.49	8.61	15.54
3/9/2012	6.20	3.99	34.61	3.11	44.78	-0.08	-7.07	9.10	18.11	20.54	9.01	15.99
3/12/2012	7.11	3.95	36.30	3.97	43.71	0.34	-6.31	9.31	17.96	20.44	9.02	16.18
