Date	MMM	ANF	AAPL	T	BAC	BA	GOOG	IBM	TJX	WFM
12/31/2012	-0.0188	0.0952	0.0872	0.4133	-0.1231	-0.0662	-0.2057	0.1394	0.1037	-0.3148
1/2/2013	0.4397	0.2688	0.0719	0.7519	0.2895	0.1033	0.0661	0.1270	0.4761	-0.1138
1/3/2013	-0.2247	-0.3384	-0.3945	-0.2516	-0.0899	-0.3587	-0.0457	0.1525	0.3373	-0.3795
1/4/2013	-0.2233	-0.0417	0.0424	-0.3017	-0.3090	-0.3796	-0.0012	-0.2049	-0.0175	-0.3303
1/7/2013	-0.1335	-0.2523	-0.1686	-0.1095	-0.0177	0.1231	-0.3565	-0.3941	-0.1227	0.3610
1/8/2013	-0.1265	-0.2666	-0.3398	0.0312	-0.0415	1.2607	-0.2781	-0.3111	0.2176	0.3864
1/9/2013	-0.3608	0.0991	-0.3137	-0.4676	0.6011	0.4288	-0.1782	-0.3833	-0.3755	-0.3187
1/10/2013	-0.1873	-0.0580	-0.0494	-0.1811	0.1500	-0.2121	-0.2356	-0.1998	-0.3484	-0.3292
1/11/2013	0.1618	-0.1260	-0.3651	-0.0407	-0.2312	0.2312	-0.4404	-0.1034	-0.2189	-0.2291
1/14/2013	-0.0030	-0.1620	0.4298	-0.2772	-0.3674	0.7026	0.7010	-0.0572	-0.4046	-0.2960
1/15/2013	-0.1916	0.0486	0.4620	-0.2553	-0.3227	-0.3985	0.8194	-0.2673	-0.2962	-0.1241
1/16/2013	-0.2437	-0.2191	0.0670	0.1031	-0.0793	1.1052	-0.1102	-0.3846	-0.4371	-0.5042
1/17/2013	-0.1412	-0.3116	-0.3102	0.0256	0.5673	1.5789	-0.2094	0.1435	-0.2949	-0.3281
1/18/2013	0.6748	0.2349	-0.0365	1.2336	0.3340	0.6657	0.5649	0.6336	0.2569	0.3588
1/22/2013	-0.0067	-0.1434	-0.2014	0.0206	-0.2713	0.0619	0.7264	0.2253	-0.2809	0.0221
1/23/2013	-0.0451	-0.4573	0.7284	-0.3456	-0.3914	0.0193	1.2656	1.0804	-0.2024	-0.0639
1/24/2013	-0.0166	-0.3503	2.2247	-0.1316	-0.4001	-0.1619	0.2140	-0.2313	-0.0974	-0.3031
1/25/2013	0.7450	-0.2782	1.3637	-0.0831	-0.3484	-0.0539	0.0157	-0.0971	-0.1754	-0.1536
1/28/2013	0.1347	0.1318	0.2851	-0.3782	-0.4297	0.1372	-0.2910	-0.3396	-0.2240	0.0303
1/29/2013	0.2257	0.0769	-0.0087	0.2565	-0.5220	0.0736	-0.2913	-0.3531	-0.3288	-0.2348
1/30/2013	-0.1060	-0.2967	-0.3450	0.4728	-0.5691	0.1377	-0.2845	-0.2776	-0.0478	-0.5485
1/31/2013	1.0701	-0.0952	-0.2481	0.5962	-0.2558	0.1875	-0.1923	0.0964	0.8337	-0.3668
2/1/2013	0.1703	-0.1521	0.1108	0.4592	-0.1395	-0.2260	0.7019	0.0706	-0.3191	-0.4297
2/4/2013	-0.3002	-0.2035	-0.0781	0.3935	-0.0286	-0.1746	0.2365	0.1297	-0.0544	-0.1366
2/5/2013	-0.0987	-0.3019	0.1654	0.1613	0.5304	0.1342	-0.2319	-0.0116	0.0834	-0.2856
2/6/2013	0.0923	-0.2447	0.0891	0.0941	0.2472	-0.3861	-0.0047	-0.0358	0.0358	-0.0348
2/7/2013	-0.2019	0.0408	0.3987	-0.0294	-0.0370	0.1272	0.1370	-0.1865	-0.1059	-0.0758
2/8/2013	-0.3821	-0.2891	0.2176	0.0527	-0.2749	-0.3050	0.1919	-0.1554	-0.1671	-0.1960
2/11/2013	-0.4913	-0.3181	-0.0367	-0.6544	-0.3420	-0.5004	-0.0746	-0.1385	-0.3615	-0.0638
2/12/2013	-0.4470	-0.0120	0.0825	-0.5760	0.4290	-0.5379	-0.2558	-0.2617	-0.2001	-0.1723
2/13/2013	-0.4095	-0.5177	-0.0258	-0.5908	0.6788	-0.5127	-0.4274	-0.3219	-0.3389	0.5293
